,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
0,Looper,59967,6.7,5785,13.15,2012,Rian Johnson,male,47042000,30000000
1,Detective Dee: The Four Heavenly Kings,506763,0.0,0,13.142,2018,Tsui Hark,,0,0
2,Wrath of the Titans,57165,5.5,1947,13.135,2012,Jonathan Liebesman,male,301000000,150000000
3,The Son of Bigfoot,413644,6.4,92,13.132,2017,Ben Stassen,male,46372519,30000000
4,John Carter,49529,6.1,2760,13.123,2012,Andrew Stanton,male,284139100,260000000
5,Tad the Lost Explorer and the Secret of King Midas,452773,6.3,86,13.121,2017,Enrique Gato,male,34156960,10778400
6,Dragon Ball Z: Dead Zone,28609,6.2,138,13.112,1989,Daisuke Nishio,male,0,0
7,Speed,1637,6.9,2427,13.111,1994,Jan de Bont,male,350448145,30000000
8,Shooter,7485,6.9,1909,13.108,2007,Antoine Fuqua,male,95696996,61000000
9,The Fault in Our Stars,222935,7.6,5526,13.106,2014,Josh Boone,male,307166834,12000000
10,Bridget Jones's Diary,634,6.6,1997,13.097,2001,Sharon Maguire,female,281929795,25000000
11,Rise of the Guardians,81188,7.2,2854,13.079,2012,Peter Ramsey,male,306941670,145000000
12,Anchorman: The Legend of Ron Burgundy,8699,6.8,1945,13.075,2004,Adam McKay,male,90574188,26000000
13,Live Free or Die Hard,1571,6.5,2709,13.069,2007,Len Wiseman,male,383531464,110000000
14,Hot Fuzz,4638,7.5,3077,13.067,2007,Edgar Wright,male,80573774,12000000
15,A Cure for Wellness,340837,6.1,1556,13.064,2017,Gore Verbinski,male,26559557,40000000
16,The Polar Express,5255,6.5,2278,13.062,2004,Robert Zemeckis,male,310634054,165000000
17,The Mother of Tears,15206,4.2,185,13.054,2007,Dario Argento,male,54947,3500000
18,In the Heart of the Sea,205775,6.5,1740,13.047,2015,Ron Howard,male,93820758,100000000
19,Showdown In Manila,339406,3.3,17,13.046,2016,Mark Dacascos,male,0,0
20,The Human Centipede 2 (Full Sequence),74997,4.5,449,13.044,2011,Tom Six,male,0,0
21,Alex Strangelove,511785,6.8,354,13.042,2018,Craig Johnson,male,0,0
22,The Girl Next Door,10591,6.4,1193,13.036,2004,Luke Greenfield,male,0,0
23,A.I. Artificial Intelligence,644,6.9,2767,13.029,2001,Steven Spielberg,male,235926552,100000000
24,Déjà Vu,7551,6.7,2001,13.026,2006,Tony Scott,male,180557550,75000000
25,Ibiza,463053,5.7,272,13.026,2018,Alex Richanbach,male,0,0
26,Who Am I,284427,7.7,549,13.025,2014,Baran bo Odar,male,0,0
27,Gravity,49047,7.2,7612,13.024,2013,Alfonso Cuarón,male,716392705,105000000
28,Singin' in the Rain,872,8.0,1056,13.021,1952,Stanley Donen,male,7200000,2540800
29,Magnum Force,10648,7.1,337,13.02,1973,Ted Post,male,39768000,0
30,The Simpsons Movie,35,6.9,3501,13.013,2007,David Silverman,male,527068851,75000000
31,Final Destination,9532,6.4,2035,13.011,2000,James Wong,male,53302314,23000000
32,The Judge,205587,7.2,1880,13.008,2014,David Dobkin,male,83719388,50000000
33,Life of Brian,583,7.8,1658,12.996,1979,Terry Jones,male,20045115,4000000
34,Cast Away,8358,7.5,4585,12.949,2000,Robert Zemeckis,male,429632142,90000000
35,'71,252178,6.8,524,12.949,2014,Yann Demange,male,3200000,11000000
36,Limitless,51876,7.1,5041,12.942,2011,Neil Burger,male,161849455,27000000
37,Bedazzled,1636,5.7,704,12.937,2000,Harold Ramis,male,90383208,48000000
38,Nocturnal Animals,340666,7.3,3029,12.936,2016,Tom Ford,male,29252978,22500000
39,Spy,238713,6.8,3272,12.929,2015,Paul Feig,male,235666219,65000000
40,2012,14161,5.6,6247,12.926,2009,Roland Emmerich,male,769653595,200000000
41,Vertigo,426,8.2,1777,12.923,1958,Alfred Hitchcock,male,28000000,2479000
42,Annabelle,250546,5.5,2364,12.918,2014,John R. Leonetti,male,255273813,6500000
43,Spy Kids,10054,5.6,1320,12.916,2001,Robert Rodriguez,male,147934180,35000000
44,Outcast,289720,4.6,185,12.903,2014,Nick Powell,male,0,25000000
45,Fantasia,756,7.3,1161,12.899,1940,Samuel Armstrong,male,83320000,2280000
46,The Dreamers,1278,7.2,1090,12.897,2003,Bernardo Bertolucci,male,15121165,15000000
47,Corpse Bride,3933,7.3,3065,12.886,2005,Tim Burton,male,117195061,40000000
48,The Karate Kid,38575,6.2,2403,12.884,2010,Harald Zwart,male,357852395,40000000
49,Girl Lost,525102,3.8,50,12.881,2018,Robin Bain,,0,1000000
50,Pixie Hollow Games,86130,6.5,96,12.88,2011,Bradley Raymond,male,0,0
51,The Hurricane Heist,430040,5.3,207,12.877,2018,Rob Cohen,male,5400000,35000000
52,211,500919,5.1,40,12.874,2018,York Alec Shackleton,male,0,0
53,Heat,949,7.8,2520,12.871,1995,Michael Mann,male,187436818,60000000
54,Death Race,10483,6.1,1617,12.87,2008,Paul W.S. Anderson,male,73762516,45000000
55,Planet of the Apes,871,7.6,1317,12.868,1968,Franklin J. Schaffner,male,33395426,5800000
56,The Row,529649,0.0,0,12.862,2018,Matty Beckerman,male,0,0
57,The Eagle Huntress,376530,7.4,37,12.857,2016,Otto Bell,male,3162153,0
58,Upgrade,500664,7.3,45,12.856,2018,Leigh Whannell,female,0,0
59,Mars Attacks!,75,6.2,2190,12.855,1996,Tim Burton,male,101371017,70000000
60,Monster House,9297,6.4,1346,12.854,2006,Gil Kenan,male,140175006,75000000
61,Scream,4232,7.1,2171,12.852,1996,Wes Craven,male,173046663,14000000
62,Inferno,207932,5.8,3066,12.851,2016,Ron Howard,male,220021259,75000000
63,The Skin of the Wolf,437380,5.4,15,12.835,2018,Samu Fuentes,male,0,0
64,Super Troopers,39939,6.7,484,12.834,2001,Jay Chandrasekhar,male,18492362,1200000
65,Alexander,1966,5.7,1354,12.831,2004,Oliver Stone,male,167298192,155000000
66,Blue Lagoon: The Awakening,115290,6.3,509,12.83,2012,Jake Newsome,male,0,0
67,Storks,332210,6.6,1016,12.819,2016,Doug Sweetland,male,182379278,70000000
68,Cinderella III: A Twist in Time,16119,6.1,384,12.817,2007,Frank Nissen,male,0,0
69,Paper Towns,286565,6.1,2827,12.813,2015,Jake Schreier,male,85512300,12000000
70,Colossal,339967,6.1,781,12.799,2016,Nacho Vigalondo,male,3029287,0
71,Kamen Rider Amazons The Movie: The Final Judgement,508830,0.0,0,12.798,2018,Hidenori Ishida,male,0,0
72,Prisoners,146233,8.0,4506,12.792,2013,Denis Villeneuve,male,122126687,46000000
73,Labyrinth,13597,7.2,836,12.79,1986,Jim Henson,male,12729917,25000000
74,Austin Powers: The Spy Who Shagged Me,817,6.2,1406,12.79,1999,Jay Roach,male,312016858,33000000
75,The Parent Trap,9820,6.9,1201,12.782,1998,Nancy Meyers,female,0,0
76,The Vanishing of Sidney Hall,353066,6.8,50,12.781,2017,Shawn Christensen,male,0,0
77,Bad Boys,9737,6.5,2295,12.778,1995,Michael Bay,male,141407024,19000000
78,Breakfast at Tiffany's,164,7.7,1634,12.77,1961,Blake Edwards,male,9500000,2500000
79,Cloudy with a Chance of Meatballs,22794,6.5,2469,12.77,2009,Phil Lord,male,242988466,100000000
80,Teenage Mutant Ninja Turtles,1498,6.5,617,12.764,1990,Steve Barron,male,202000000,13500000
81,Guardians,354556,4.5,257,12.763,2017,Sarik Andreasyan,,4803565,5400000
82,First Blood,1368,7.3,2130,12.762,1982,Ted Kotcheff,male,125212904,15000000
83,The Summer I Turned 15,281007,5.1,9,12.758,1976,Knut Andersen,male,0,0
84,Willy Wonka & the Chocolate Factory,252,7.4,1230,12.757,1971,Mel Stuart,female,4000000,3000000
85,The Drop,154400,6.7,1039,12.756,2014,Michaël R. Roskam,male,19054534,12600000
86,The 6th Day,8452,5.8,814,12.753,2000,Roger Spottiswoode,male,96085477,82000000
87,Slumdog Millionaire,12405,7.7,4186,12.748,2008,Danny Boyle,male,377910544,15000000
88,The Land Before Time,12144,7.0,977,12.742,1988,Don Bluth,male,84460846,12300000
89,Holes,8326,6.7,542,12.739,2003,Andrew Davis,male,0,20000000
90,Chinatown,829,7.9,1325,12.738,1974,Roman Polanski,male,30000000,6000000
91,Ghost Rider: Spirit of Vengeance,71676,4.7,1585,12.729,2011,Mark Neveldine,male,149217355,57000000
92,Annie Hall,703,7.8,1510,12.728,1977,Woody Allen,male,38251425,4000000
93,"Mickey, Donald, Goofy: The Three Musketeers",21385,6.5,279,12.725,2004,Donovan Cook,male,0,0
94,Sinister,82507,6.8,2224,12.721,2012,Scott Derrickson,male,77712439,3000000
95,Dragon Ball Z: Battle of Gods,126963,6.5,538,12.712,2013,Masahiro Hosoda,male,50353002,0
96,Two Is a Family,382591,7.8,1421,12.712,2016,Hugo Gélin,male,1447740,0
97,The Neon Demon,301365,6.5,1505,12.709,2016,Nicolas Winding Refn,male,1333124,7000000
98,Unforgiven,33,7.9,1521,12.708,1992,Clint Eastwood,male,159157447,14000000
99,Cabin Fever,298584,4.4,155,12.707,2016,Travis Zariwny,male,0,0
100,The English Patient,409,7.1,800,12.703,1996,Anthony Minghella,male,231976425,27000000
101,Entourage,188222,6.2,582,12.702,2015,Doug Ellin,male,49263404,30000000
102,Fahrenheit 451,401905,5.5,144,12.69,2018,Ramin Bahrani,male,0,0
103,Total Recall,861,7.1,2340,12.689,1990,Paul Verhoeven,male,261317921,10000000
104,Highlander,8009,6.9,912,12.685,1986,Russell Mulcahy,male,5900000,16000000
105,21,8065,6.6,1907,12.684,2008,Robert Luketic,male,69823199,35000000
106,Ballet Shoes,20497,6.4,133,12.684,2008,Sandra Goldbacher,female,0,0
107,Hostel,1690,5.8,1325,12.678,2006,Eli Roth,,80578934,4800000
108,Bludgeon,532070,0.0,0,12.677,2018,Ryan Heron,male,0,0
109,Stargate,2164,6.9,1319,12.672,1994,Roland Emmerich,male,196567262,55000000
110,Samantha: An American Girl Holiday,25786,5.3,13,12.672,2004,Nadia Tass,female,0,0
111,Smurfs: The Lost Village,137116,6.1,528,12.664,2017,Kelly Asbury,female,197183546,60000000
112,Detroit,407448,7.3,536,12.664,2017,Kathryn Bigelow,female,16790139,34000000
113,The World's End,107985,6.7,2366,12.661,2013,Edgar Wright,male,46089287,20000000
114,Last Action Hero,9593,6.2,982,12.66,1993,John McTiernan,male,137298489,85000000
115,Seal Team Six: The Raid on Osama Bin Laden,130267,6.0,135,12.66,2012,John Stockwell,male,0,0
116,Howl's Moving Castle,4935,8.3,2965,12.658,2004,Hayao Miyazaki,,234710455,24000000
117,Wild Card,265208,5.4,800,12.655,2015,Simon West,male,0,30000000
118,Marainthirunthu Paarkum Marmam Enna,487258,0.0,0,12.65,2018,R. Rahesh,,0,0
119,Diamonds Are Forever,681,6.4,761,12.648,1971,Guy Hamilton,male,116019547,7200000
120,Once Upon a Time in America,311,8.4,1680,12.648,1984,Sergio Leone,male,0,30000000
121,The Human Centipede (First Sequence),37169,4.9,723,12.64,2009,Tom Six,male,0,2011799
122,Calibre,474051,6.7,48,12.639,2018,Matt Palmer,male,0,0
123,The Square,401246,6.9,359,12.626,2017,Ruben Östlund,male,1502347,0
124,Demolition Man,9739,6.5,1317,12.624,1993,Marco Brambilla,male,159055768,57000000
125,Ender's Game,80274,6.6,2958,12.617,2013,Gavin Hood,male,125537191,110000000
126,Suburbicon,395458,5.6,536,12.61,2017,George Clooney,male,5775178,25000000
127,My Sister-in-law's Job,482204,0.0,0,12.609,2017,No Hyun-jin,,0,0
128,Vixen!,5721,5.5,25,12.603,1968,Russ Meyer,male,6000000,76000
129,Addams Family Reunion,11508,4.2,83,12.602,1998,Dave Payne,male,0,0
130,S.W.A.T.,9257,5.9,996,12.599,2003,Clark Johnson,male,116643346,80000000
131,Mr. Nobody,31011,7.9,2346,12.589,2009,Jaco Van Dormael,male,2331721,47000000
132,A Prayer Before Dawn,448776,7.3,19,12.589,2018,Jean-Stéphane Sauvaire,,0,0
133,Captain Phillips,109424,7.6,3183,12.582,2013,Paul Greengrass,male,95000000,55000000
134,Citizen Kane,15,8.1,1796,12.579,1941,Orson Welles,male,23217674,839727
135,The Thing,1091,7.9,2320,12.573,1982,John Carpenter,male,19629760,15000000
136,Sleepy Hollow,2668,7.0,2632,12.567,1999,Tim Burton,male,206071502,100000000
